food_name,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g
Curd Rice,253,1.55,29.07,14.5,12.22
Grilled Chicken,294,31.4,14.76,12.15,5.17
Egg Omelette,104,0.0,18.41,24.97,8.21
Rice and Dal,145,0.0,33.45,23.84,3.34
Vegetable Soup,158,0.0,27.35,17.24,8.27
Chapati with Curry,176,5.39,32.9,2.54,5.57
Fruit Salad,309,54.48,19.15,1.61,1.51
Rice and Dal,170,0.0,28.08,12.92,7.43
Grilled Chicken,181,0.0,21.22,22.74,3.81
Grilled Chicken,371,35.42,13.23,19.6,1.07
Oats Porridge,264,0.0,29.15,16.95,13.19
Oats Porridge,181,0.0,30.36,22.92,10.24
Vegetable Biryani,268,17.55,5.89,19.36,1.76
Egg Omelette,218,0.0,34.83,23.37,12.86
Chapati with Curry,317,22.73,20.65,15.94,2.79
Dosa,113,0.0,20.83,20.5,10.4
Vegetable Biryani,412,45.25,27.15,13.6,2.89
Vegetable Biryani,265,2.88,29.06,15.25,14.21
Vegetable Soup,419,39.63,18.77,20.6,2.9
Dosa,369,43.78,34.41,6.25,4.83
Fish Curry,212,16.55,8.41,12.46,8.52
Vegetable Soup,360,38.82,24.47,11.87,10.11
Dosa,203,29.16,2.69,8.4,8.3
Oats Porridge,180,0.0,32.53,22.19,11.29
Vegetable Biryani,148,0.0,28.04,5.6,1.88
Vegetable Upma,149,0.0,31.3,11.45,13.74
Egg Omelette,370,67.28,5.47,8.78,3.37
Curd Rice,442,42.87,17.66,22.21,12.79
Rice and Dal,260,41.66,16.23,3.16,2.85
Vegetable Upma,208,0.0,7.38,22.2,10.93
Egg Omelette,450,97.13,3.42,5.31,2.68
Grilled Chicken,406,71.95,9.57,8.88,12.14
Grilled Chicken,265,11.05,25.66,13.13,14.9
Vegetable Upma,406,54.37,24.63,10.0,13.79
Idli,280,19.51,20.27,13.43,3.5
Fish Curry,339,31.39,7.48,20.39,6.29
Curd Rice,126,0.0,5.5,15.64,11.22
Grilled Chicken,136,1.96,2.2,13.26,3.54
Paneer Curry,213,24.5,22.77,2.66,9.87
Egg Omelette,352,34.27,18.0,15.88,12.01
Fruit Salad,434,32.92,19.69,24.84,5.8
Dosa,405,69.32,13.57,8.16,13.07
Curd Rice,213,3.2,10.32,17.66,2.56
Fish Curry,204,0.0,9.51,23.16,14.75
Curd Rice,223,0.0,33.04,18.76,10.94
Idli,160,0.0,31.24,17.97,14.26
Rice and Dal,333,30.26,6.8,20.53,12.88
Vegetable Khichdi,298,9.98,9.98,24.24,12.16
Vegetable Biryani,84,0.0,21.07,19.72,1.17
Idli,220,18.7,24.89,5.07,2.28
Curd Rice,425,48.48,34.71,10.25,10.79
Vegetable Upma,341,29.32,19.03,16.4,8.97
Oats Porridge,287,45.73,18.06,3.54,14.36
Grilled Chicken,111,0.0,30.63,5.93,2.28
Dosa,163,0.0,21.39,10.25,4.48
Vegetable Biryani,222,33.41,12.12,4.43,9.0
Egg Omelette,357,49.7,20.92,8.28,6.84
Curd Rice,376,42.14,3.19,21.63,9.61
Grilled Chicken,145,18.23,9.29,3.88,12.86
Vegetable Upma,168,30.66,2.84,3.78,14.85
Fruit Salad,92,0.0,32.36,3.69,10.36
Oats Porridge,303,34.6,29.25,5.29,9.54
Egg Omelette,442,72.65,23.56,6.35,7.0
Egg Omelette,228,2.85,32.39,9.67,11.58
Vegetable Khichdi,229,10.51,2.53,19.65,6.15
Vegetable Upma,259,15.61,29.81,8.59,13.53
Vegetable Khichdi,420,37.63,27.75,17.61,1.73
Vegetable Khichdi,161,4.75,18.35,7.62,2.77
Fish Curry,231,0.0,20.11,18.74,8.5
Vegetable Biryani,235,19.24,14.85,10.96,9.37
Vegetable Upma,212,0.0,27.49,22.13,1.87
Grilled Chicken,136,0.0,4.45,20.62,6.28
Vegetable Upma,390,47.11,8.83,18.47,12.4
Vegetable Upma,372,49.52,25.16,8.14,8.21
Vegetable Khichdi,425,78.79,23.05,1.96,9.56
Paneer Curry,146,0.0,15.39,24.63,8.03
Oats Porridge,442,69.76,4.49,16.11,3.18
Fish Curry,411,46.27,3.69,23.46,14.94
Grilled Chicken,331,70.0,8.32,1.97,4.11
Fish Curry,267,16.94,24.61,11.2,14.02
Chapati with Curry,264,0.0,19.69,24.05,9.67
Idli,438,41.97,34.21,14.81,6.79
Vegetable Upma,369,66.8,5.74,8.76,7.98
Vegetable Upma,388,42.67,7.98,20.6,6.62
Fruit Salad,213,8.92,19.08,11.22,4.31
Curd Rice,190,0.0,14.4,20.95,3.54
Dosa,200,26.25,20.02,1.66,10.89
Curd Rice,120,0.0,23.57,18.79,6.36
Vegetable Upma,215,18.79,3.66,13.91,9.01
Grilled Chicken,390,11.23,33.89,23.28,13.18
Oats Porridge,122,0.0,29.26,15.69,4.87
Grilled Chicken,289,33.64,19.01,8.71,14.7
Oats Porridge,299,0.15,25.66,21.75,9.26
Vegetable Biryani,176,0.0,30.23,22.97,7.75
Paneer Curry,118,0.0,34.17,6.86,4.34
Egg Omelette,285,48.01,6.57,7.41,6.17
Vegetable Biryani,284,12.17,30.21,12.72,7.51
Oats Porridge,229,0.0,33.93,19.65,7.82
Vegetable Upma,383,66.92,19.18,4.29,14.86
Dosa,84,0.0,2.6,10.06,6.3
Paneer Curry,181,0.0,33.77,19.54,14.59
Vegetable Khichdi,267,21.6,30.21,6.64,7.1
Vegetable Upma,278,5.79,23.32,17.95,4.23
Vegetable Biryani,231,4.25,31.41,9.82,6.96
Vegetable Khichdi,162,7.55,12.56,9.06,11.75
Curd Rice,283,29.16,29.31,5.46,3.92
Dosa,435,76.21,9.7,10.15,8.43
Egg Omelette,450,85.74,21.99,2.12,3.53
Fish Curry,268,29.06,27.75,4.53,6.08
Vegetable Upma,159,0.0,29.98,24.22,10.24
Vegetable Soup,301,22.91,10.69,18.51,4.93
Vegetable Khichdi,156,0.0,27.97,12.11,1.4
Oats Porridge,252,2.91,32.95,12.06,7.63
Dosa,126,0.0,28.85,1.69,13.33
Vegetable Soup,233,0.0,34.91,21.5,13.1
Vegetable Soup,276,39.87,13.29,7.04,10.26
Fish Curry,195,0.0,9.25,18.32,6.31
Dosa,332,53.72,15.11,6.3,11.92
Egg Omelette,340,12.67,20.56,23.01,14.92
Rice and Dal,247,28.09,25.4,3.67,3.57
Vegetable Upma,409,59.64,3.71,17.29,14.95
Fruit Salad,284,50.73,16.04,1.88,10.13
Vegetable Soup,276,10.74,25.07,14.75,10.86
Vegetable Upma,272,26.42,17.55,10.68,6.72
Curd Rice,438,67.97,34.2,3.26,12.88
Fish Curry,308,0.0,32.9,20.3,14.65
Grilled Chicken,407,38.79,24.71,17.0,5.44
Oats Porridge,175,15.72,12.37,6.96,5.5
Dosa,200,7.1,10.75,14.29,3.41
Oats Porridge,400,77.66,4.77,7.81,11.63
Grilled Chicken,80,0.0,27.13,3.56,2.8
